abandon -> abandons,abandoning,abandoned
ruck -> rucks,rucking,rucked
rue -> rues,ruing,rued
ruffle -> ruffles,ruffling,ruffled
ruin -> ruins,ruining,ruined
rule -> rules,ruling,ruled
rumble -> rumbles,rumbling,rumbled
ruminate -> ruminates,ruminating,ruminated
rummage -> rummages,rummaging,rummaged
rumple -> rumples,rumpling,rumpled
run -> runs,running,ran
rupture -> ruptures,rupturing,ruptured
rush -> rushes,rushing,rushed
rust -> rusts,rusting,rusted
rustle -> rustles,rustling,rustled
sabotage -> sabotages,sabotaging,sabotaged
sack -> sacks,sacking,sacked
sacrifice -> sacrifices,sacrificing,sacrificed
sadden -> saddens,saddening,saddened
saddle -> saddles,saddling,saddled
safe -> safes,safer,safest
safeguard -> safeguards,safeguarding,safeguarded
sag -> sags,sagging,sagged
sail -> sails,sailing,sailed
salaam -> salaams,salaaming,salaamed
salivate -> salivates,salivating,salivated
sally -> sallies,sallying,sallied
salt -> salts,salting,salted
salute -> salutes,saluting,saluted
salvage -> salvages,salvaging,salvaged
salve -> salves,salving,salved
sample -> samples,sampling,sampled
sanctify -> sanctifies,sanctifying,sanctified
sanction -> sanctions,sanctioning,sanctioned
sand -> sands,sanding,sanded
sandbag -> sandbags,sandbagging,sandbagged
sandpaper -> sandpapers,sandpapering,sandpapered
sandwich -> sandwiches,sandwiching,sandwiched
sap -> saps,sapping,sapped
satiate -> satiates,satiating,satiated
satirize -> satirizes,satirizing,satirized
satisfy -> satisfies,satisfying,satisfied
saturate -> saturates,saturating,saturated
saunter -> saunters,sauntering,sauntered
saute -> sautes,sauteing,sauteed
savage -> savages,savaging,savaged
save -> saves,saving,saved
savour -> savours,savouring,savoured
saw -> saws,sawing,sawed,sawn
say -> says,saying,said
scald -> scalds,scalding,scalded
scale -> scales,scaling,scaled
scalp -> scalps,scalping,scalped
scamper -> scampers,scampering,scampered
scan -> scans,scanning,scanned
scandalize -> scandalizes,scandalizing,scandalized
scar -> scars,scarring,scarred
scare -> scares,scaring,scared
scarper -> scarpers,scarpering,scarpered
scatter -> scatters,scattering,scattered
scavenge -> scavenges,scavenging,scavenged
scent -> scents,scenting,scented
schedule -> schedules,scheduling,scheduled
scheme -> schemes,scheming,schemed
school -> schools,schooling,schooled
scoff -> scoffs,scoffing,scoffed
scold -> scolds,scolding,scolded
scoop -> scoops,scooping,scooped
scoot -> scoots,scooting,scooted
scorch -> scorches,scorching,scorched
score -> scores,scoring,scored
scorn -> scorns,scorning,scorned
scotch -> scotches,scotching,scotched
scour -> scours,scouring,scoured
scourge -> scourges,scourging,scourged
scout -> scouts,scouting,scouted
scowl -> scowls,scowling,scowled
scrabble -> scrabbles,scrabbling,scrabbled
scramble -> scrambles,scrambling,scrambled
scrap -> scraps,scrapping,scrapped
scrape -> scrapes,scraping,scraped
scratch -> scratches,scratching,scratched
scrawl -> scrawls,scrawling,scrawled
scream -> screams,screaming,screamed
screech -> screeches,screeching,screeched
screen -> screens,screening,screened
screw -> screws,screwing,screwed
scribble -> scribbles,scribbling,scribbled
scrimp -> scrimps,scrimping,scrimped
scrounge -> scrounges,scrounging,scrounged
scrub -> scrubs,scrubbing,scrubbed
scrunch -> scrunches,scrunching,scrunched
scrutinize -> scrutinizes,scrutinizing,scrutinized
scud -> scuds,scudding,scudded
scuff -> scuffs,scuffing,scuffed
scuffle -> scuffles,scuffling,scuffled
scull -> sculls,sculling,sculled
sculpt -> sculpts,sculpting,sculpted
sculpture -> sculptures,sculpturing,sculptured
scupper -> scuppers,scuppering,scuppered
scurry -> scurries,scurrying,scurried
scuttle -> scuttles,scuttling,scuttled
scythe -> scythes,scything,scythed
seal -> seals,sealing,sealed
sear -> sears,searing,seared
search -> searches,searching,searched
season -> seasons,seasoning,seasoned
seat -> seats,seating,seated
secede -> secedes,seceding,seceded
seclude -> secludes,secluding,secluded
second -> seconds,seconding,seconded
secrete -> secretes,secreting,secreted
secularize -> secularizes,secularizing,secularized
secure -> secures,securing,secured
sedate -> sedates,sedating,sedated
seduce -> seduces,seducing,seduced
see -> sees,seeing,saw,seen
seed -> seeds,seeding,seeded
seek -> seeks,seeking,sought
seem -> seems,seeming,seemed
seep -> seeps,seeping,seeped
seethe -> seethes,seething,seethed
segregate -> segregates,segregating,segregated
seize -> seizes,seizing,seized
select -> selects,selecting,selected
sell -> sells,selling,sold
Sellotape -> Sellotapes,Sellotaping,Sellotaped
send -> sends,sending,sent
sense -> senses,sensing,sensed
sensitize -> sensitizes,sensitizing,sensitized
sentence -> sentences,sentencing,sentenced
sentimentalize -> sentimentalizes,sentimentalizing,sentimentalized
separate -> separates,separating,separated
sequester -> sequesters,sequestering,sequestered
sequestrate -> sequestrates,sequestrating,sequestrated
serenade -> serenades,serenading,serenaded
serialize -> serializes,serializing,serialized
sermonize -> sermonizes,sermonizing,sermonized
serve -> serves,serving,served
service -> services,servicing,serviced
settle -> settles,settling,settled
sever -> severs,severing,severed
sew -> sews,sewing,sewed,sewn
sex -> sexes,sexing,sexed
shack -> shacks,shacking,shacked
shackle -> shackles,shackling,shackled
shade -> shades,shading,shaded
shadow -> shadows,shadowing,shadowed
shag -> shags,shagging,shagged
shake -> shakes,shaking,shook,shaken
shallow -> shallower,shallowest,shallows
sham -> shams,shamming,shammed
shamble -> shambles,shambling,shambled
shame -> shames,shaming,shamed
shampoo -> shampoos,shampooing,shampooed
shape -> shapes,shaping,shaped
share -> shares,sharing,shared
sharp -> sharper,sharpest,sharps
sharpen -> sharpens,sharpening,sharpened
shatter -> shatters,shattering,shattered
shave -> shaves,shaved,shaven,shaving
shear -> shears,shearing,sheared,shorn
sheathe -> sheathes,sheathing,sheathed
sheer -> sheers,sheering,sheered
sheet -> sheets,sheeting,sheeted
shell -> shells,shelling,shelled
shelter -> shelters,sheltering,sheltered
shelve -> shelves,shelving,shelved
shepherd -> shepherds,shepherding,shepherded
shield -> shields,shielding,shielded
shift -> shifts,shifting,shifted
shilly-shally -> shilly-shallies,shilly-shallying,shilly-shallied
shimmer -> shimmers,shimmering,shimmered
shin -> shins,shinning,shinned
shine -> shines,shining,shone,shined
ship -> ships,shipping,shipped
shirk -> shirks,shirking,shirked
shit -> shits,shitting,shat
shiver -> shivers,shivering,shivered
shock -> shocks,shocking,shocked
shoe -> shoes,shod,shodden,shoeing
shoo -> shoos,shooing,shooed
shoot -> shoots,shooting,shot
shop -> shops,shopping,shopped
shore -> shores,shoring,shored
short -> shorter,shortest,shorts
short-change -> short-changes,short-changing,short-changed
short-circuit -> short-circuits,short-circuiting,short-circuited
short-list -> short-lists,short-listing,short-listed
short-weight -> short-weights,short-weighting,short-weighted
shorten -> shortens,shortening,shortened
shoulder -> shoulders,shouldering,shouldered
shout -> shouts,shouting,shouted
shove -> shoves,shoving,shoved
shovel -> shovels,shovelling,shovelled
show -> shows,showing,showed,shown
shower -> showers,showering,showered
shred -> shreds,shredding,shredded
shriek -> shrieks,shrieking,shrieked
shrill -> shriller,shrillest,shrills,shrilling,shrilled
shrink -> shrinks,shrank,shrunk,shrunken,shrinking
shrivel -> shrivels,shrivelling,shrivelled
shroud -> shrouds,shrouding,shrouded
shrug -> shrugs,shrugging,shrugged
shudder -> shudders,shuddering,shuddered
shuffle -> shuffles,shuffling,shuffled
shun -> shuns,shunning,shunned
shunt -> shunts,shunting,shunted
shush -> shushes,shushing,shushed
shuttle -> shuttles,shuttling,shuttled
shy -> shyer,shyest,shies,shying,shied
sicken -> sickens,sickening,sickened
side -> sides,siding,sided
sidestep -> sidesteps,sidestepping,sidestepped
sidetrack -> sidetracks,sidetracking,sidetracked
sidle -> sidles,sidling,sidled
sieve -> sieves,sieving,sieved
sift -> sifts,sifting,sifted
sigh -> sighs,sighing,sighed
sight -> sights,sighting,sighted
sign -> signs,signing,signed
signal -> signals,signalling,signalled
signify -> signifies,signifying,signified
signpost -> signposts,signposting,signposted
silence -> silences,silencing,silenced
silt -> silts,silting,silted
simmer -> simmers,simmering,simmered
simper -> simpers,simpering,simpered
simplify -> simplifies,simplifying,simplified
simulate -> simulates,simulating,simulated
simulcast -> simulcasts,simulcasted,simulcasting
sin -> sins,sinning,sinned
sing -> sings,singing,sang,sung
singe -> singes,singeing,singed
single -> singles,singling,singled
sink -> sinks,sank,sunk,sunken,sinking
sip -> sips,sipping,sipped
siphon -> siphons,siphoning,siphoned
sire -> sires,siring,sired
sit -> sits,sitting,sat
site -> sites,siting,sited
situate -> situates,situating,situated
size -> sizes,sizing,sized
sizzle -> sizzles,sizzling,sizzled
skate -> skates,skating,skated
sketch -> sketches,sketching,sketched
skew -> skews,skewing,skewed
skewer -> skewers,skewering,skewered
ski -> skis,skiing,skied
skid -> skids,skidding,skidded
skim -> skims,skimming,skimmed
skimp -> skimps,skimping,skimped
skin -> skins,skinning,skinned
skip -> skips,skipping,skipped
skirmish -> skirmishes,skirmishing,skirmished
skirt -> skirts,skirting,skirted
skitter -> skitters,skittering,skittered
skive -> skives,skiving,skived
skulk -> skulks,skulking,skulked
slack -> slacker,slackest,slacks,slacking,slacked
slacken -> slackens,slackening,slackened
slag -> slags,slagging,slagged
slake -> slakes,slaking,slaked
slam -> slams,slamming,slammed
slander -> slanders,slandering,slandered
slant -> slants,slanting,slanted
slap -> slaps,slapping,slapped
slash -> slashes,slashing,slashed
slate -> slates,slating,slated
slaughter -> slaughters,slaughtering,slaughtered
slave -> slaves,slaving,slaved
slaver -> slavers,slavering,slavered
slay -> slays,slaying,slew,slain
sled -> sleds,sledding,sledded
sledge -> sledges,sledging,sledged
sleep -> sleeps,sleeping,slept
sleepwalk -> sleepwalks,sleepwalking,sleepwalked
sleet -> sleets,sleeting,sleeted
slew -> slews,slewing,slewed
slice -> slices,slicing,sliced
slick -> slicker,slickest,slicks,slicking,slicked
slide -> slides,sliding,slid
slight -> slighter,slightest,slights,slighting,slighted
slim -> slimmer,slimmest,slims,slimming,slimmed
sling -> slings,slinging,slung
slink -> slinks,slinking,slunk
slip -> slips,slipping,slipped
slither -> slithers,slithering,slithered
slobber -> slobbers,slobbering,slobbered
slog -> slogs,slogging,slogged
slop -> slops,slopping,slopped
slope -> slopes,sloping,sloped
slosh -> sloshes,sloshing,sloshed
slot -> slots,slotting,slotted
slouch -> slouches,slouching,slouched
slough -> sloughs,sloughing,sloughed
slow -> slower,slowest,slows,slowing,slowed
slug -> slugs,slugging,slugged
sluice -> sluices,sluicing,sluiced
slum -> slums,slumming,slummed
slumber -> slumbers,slumbering,slumbered
slump -> slumps,slumping,slumped
slur -> slurs,slurring,slurred
slurp -> slurps,slurping,slurped
smack -> smacks,smacking,smacked
small -> smaller,smallest,smalls
smart -> smarter,smartest,smarts,smarting,smarted
smarten -> smartens,smartening,smartened
smash -> smashes,smashing,smashed
smear -> smears,smearing,smeared
smell -> smells,smelling,smelled,smelt
smelt -> smelts,smelting,smelted
smile -> smiles,smiling,smiled
smirk -> smirks,smirking,smirked
smite -> smites,smiting,smote,smitten
smoke -> smokes,smoking,smoked
smooch -> smooches,smooching,smooched
smooth -> smoother,smoothest,smooths,smoothing,smoothed
smother -> smothers,smothering,smothered
smoulder -> smoulders,smouldering,smouldered
smudge -> smudges,smudging,smudged
smuggle -> smuggles,smuggling,smuggled
snag -> snags,snagging,snagged
snake -> snakes,snaking,snaked
snap -> snaps,snapping,snapped
snare -> snares,snaring,snared
snarl -> snarls,snarling,snarled
snatch -> snatches,snatching,snatched
sneak -> sneaks,sneaking,sneaked
sneer -> sneers,sneering,sneered
sneeze -> sneezes,sneezing,sneezed
snick -> snicks,snicking,snicked
snicker -> snickers,snickering,snickered
sniff -> sniffs,sniffing,sniffed
sniffle -> sniffles,sniffling,sniffled
snigger -> sniggers,sniggering,sniggered
snip -> snips,snipping,snipped
snipe -> snipes,sniping,sniped
snitch -> snitches,snitching,snitched
snivel -> snivels,snivelling,snivelled
snog -> snogs,snogging,snogged
snooker -> snookers,snookering,snookered
snoop -> snoops,snooping,snooped
snooze -> snoozes,snoozing,snoozed
snore -> snores,snoring,snored
snorkel -> snorkels,snorkelling,snorkelled
snort -> snorts,snorting,snorted
snow -> snows,snowing,snowed
snowball -> snowballs,snowballing,snowballed
snub -> snubs,snubbing,snubbed
snuff -> snuffs,snuffing,snuffed
snuffle -> snuffles,snuffling,snuffled
snug -> snugger,snuggest,snugs
snuggle -> snuggles,snuggling,snuggled
soak -> soaks,soaking,soaked
soap -> soaps,soaping,soaped
soar -> soars,soaring,soared
sob -> sobs,sobbing,sobbed
sober -> soberer,soberest,sobers,sobering,sobered
socialize -> socializes,socializing,socialized
sock -> socks,socking,socked
soft-pedal -> soft-pedals,soft-pedalling,soft-pedalled
soft-soap -> soft-soaps,soft-soaping,soft-soaped
soften -> softens,softening,softened
soil -> soils,soiling,soiled
solder -> solders,soldering,soldered
soldier -> soldiers,soldiering,soldiered
sole -> soles,soling,soled
solicit -> solicits,soliciting,solicited
solidify -> solidifies,solidifying,solidified
solve -> solves,solving,solved
somersault -> somersaults,somersaulting,somersaulted
soothe -> soothes,soothing,soothed
sop -> sops,sopping,sopped
sorrow -> sorrows,sorrowing,sorrowed
sort -> sorts,sorting,sorted
sough -> soughs,soughing,soughed
sound -> sounds,sounding,sounded,sounder,soundest
soundproof -> soundproofs,soundproofing,soundproofed
soup -> soups,souping,souped
sour -> sours,souring,soured
sow -> sows,sowing,sowed,sown
space -> spaces,spacing,spaced
span -> spans,spanning,spanned
spangle -> spangles,spangling,spangled
spank -> spanks,spanking,spanked
spar -> spars,sparring,sparred
spare -> spares,sparing,spared
spark -> sparks,sparking,sparked
sparkle -> sparkles,sparkling,sparkled
spatter -> spatters,spattering,spattered
spawn -> spawns,spawning,spawned
spay -> spays,spaying,spayed
speak -> speaks,spoke,spake,spoken,speaking
spear -> spears,spearing,speared
spearhead -> spearheads,spearheading,spearheaded
specialize -> specializes,specializing,specialized
specify -> specifies,specifying,specified
speckle -> speckles,speckling,speckled
speculate -> speculates,speculating,speculated
speed -> speeds,speeding,sped,speeded
spell -> spells,spelling,spelled,spelt
spellbind -> spellbinds,spellbound,spellbinding
spend -> spends,spending,spent
spew -> spews,spewing,spewed
spice -> spices,spicing,spiced
spike -> spikes,spiking,spiked
spill -> spills,spilling,spilled,spilt
spin -> spins,spinning,spun
spin-dry -> spin-dries,spin-drying,spin-dried,spun,dry
spiral -> spirals,spiralling,spiralled
spirit -> spirits,spiriting,spirited
spit -> spits,spitting,spat
splash -> splashes,splashing,splashed
splatter -> splatters,splattering,splattered
splay -> splays,splaying,splayed
splice -> splices,splicing,spliced
splinter -> splinters,splintering,splintered
splurge -> splurges,splurging,splurged
splutter -> splutters,spluttering,spluttered
spoil -> spoils,spoiling,spoiled,spoilt
sponge -> sponges,sponging,sponged
sponsor -> sponsors,sponsoring,sponsored
spoof -> spoofs,spoofing,spoofed
spook -> spooks,spooking,spooked
spoon -> spoons,spooning,spooned
spoon-feed -> spoon-feeds,spoon-feeding,spoon-fed
sport -> sports,sporting,sported
spot -> spots,spotting,spotted
spotlight -> spotlights,spotlighting,spotlighted
spout -> spouts,spouting,spouted
sprain -> sprains,spraining,sprained
sprawl -> sprawls,sprawling,sprawled
spray -> sprays,spraying,sprayed
spring -> springs,springing,sprang,sprung
spring-clean -> spring-cleans,spring-cleaning,spring-cleaned
sprinkle -> sprinkles,sprinkling,sprinkled
sprint -> sprints,sprinting,sprinted
sprout -> sprouts,sprouting,sprouted
spruce -> spruces,sprucing,spruced
spur -> spurs,spurring,spurred
spurn -> spurns,spurning,spurned
spurt -> spurts,spurting,spurted
sputter -> sputters,sputtering,sputtered
spy -> spies,spying,spied
squabble -> squabbles,squabbling,squabbled
squall -> squalls,squalling,squalled
squander -> squanders,squandering,squandered
square -> squares,squaring,squared
squash -> squashes,squashing,squashed
squat -> squats,squatting,squatted
squawk -> squawks,squawking,squawked
squeak -> squeaks,squeaking,squeaked
squeal -> squeals,squealing,squealed
squeeze -> squeezes,squeezing,squeezed
squelch -> squelches,squelching,squelched
squint -> squints,squinting,squinted
squirm -> squirms,squirming,squirmed
squirt -> squirts,squirting,squirted
stab -> stabs,stabbing,stabbed
stabilize -> stabilizes,stabilizing,stabilized
stable -> stables,stabling,stabled
stack -> stacks,stacking,stacked
staff -> staffs,staffing,staffed
stage -> stages,staging,staged
stage-manage -> stage-manages,stage-managing,stage-managed
stagger -> staggers,staggering,staggered
stagnate -> stagnates,stagnating,stagnated
stain -> stains,staining,stained
stake -> stakes,staking,staked
stalk -> stalks,stalking,stalked
stall -> stalls,stalling,stalled
stammer -> stammers,stammering,stammered
stamp -> stamps,stamping,stamped
stampede -> stampedes,stampeding,stampeded
stand -> stands,standing,stood
standardize -> standardizes,standardizing,standardized
staple -> staples,stapling,stapled
star -> stars,starring,starred
starch -> starches,starching,starched
stare -> stares,staring,stared
start -> starts,starting,started
startle -> startles,startling,startled
starve -> starves,starving,starved
stash -> stashes,stashing,stashed
state -> states,stating,stated
station -> stations,stationing,stationed
staunch -> stauncher,staunchest,staunches,staunching,staunched
stave -> staves,stove,staved,staving
stay -> stays,staid,stayed,staying
steady -> steadier,steadiest,steadies,steadying,steadied
steal -> steals,stealing,stole,stolen
steam -> steams,steaming,steamed
steamroller -> steamrollers,steamrollering,steamrollered
steel -> steels,steeling,steeled
steep -> steeper,steepest,steeps,steeping,steeped
steer -> steers,steering,steered
stem -> stems,stemming,stemmed
stencil -> stencils,stencilling,stencilled
step -> steps,stepping,stepped
stereotype -> stereotypes,stereotyping,stereotyped
sterilize -> sterilizes,sterilizing,sterilized
stern -> sterner,sternest,sterns
stew -> stews,stewing,stewed
stick -> sticks,sticking,stuck
stiff -> stiffer,stiffest,stiffs
stiffen -> stiffens,stiffening,stiffened
stifle -> stifles,stifling,stifled
stigmatize -> stigmatizes,stigmatizing,stigmatized
still -> stills,stilling,stilled,stiller,stillest
stimulate -> stimulates,stimulating,stimulated
sting -> stings,stinging,stung
stink -> stinks,stinking,stank,stunk
stipulate -> stipulates,stipulating,stipulated
stir -> stirs,stirring,stirred
stir-fry -> stir-fries,stir-frying,stir-fried
stitch -> stitches,stitching,stitched
stock -> stocks,stocking,stocked
stockpile -> stockpiles,stockpiling,stockpiled
stoke -> stokes,stoking,stoked
stomach -> stomachs,stomaching,stomached
stomp -> stomps,stomping,stomped
stone -> stones,stoning,stoned
stonewall -> stonewalls,stonewalling,stonewalled
stoop -> stoops,stooping,stooped
stop -> stops,stopping,stopped
store -> stores,storing,stored
storm -> storms,storming,stormed
stout -> stouter,stoutest,stouts
stow -> stows,stowing,stowed
straddle -> straddles,straddling,straddled
strafe -> strafes,strafing,strafed
straggle -> straggles,straggling,straggled
straighten -> straightens,straightening,straightened
strain -> strains,straining,strained
strand -> strands,stranding,stranded
strangle -> strangles,strangling,strangled
strap -> straps,strapping,strapped
stray -> strays,straying,strayed
streak -> streaks,streaking,streaked
stream -> streams,streaming,streamed
streamline -> streamlines,streamlining,streamlined
strengthen -> strengthens,strengthening,strengthened
stress -> stresses,stressing,stressed
stretch -> stretches,stretching,stretched
strew -> strews,strewing,strewed,strewn
stride -> strides,strode,stridden,strid,striding
strike -> strikes,struck,stricken,striking
string -> strings,stringing,strung
strip -> strips,stripping,stripped
strive -> strives,striving,strove,striven
stroke -> strokes,stroking,stroked
stroll -> strolls,strolling,strolled
structure -> structures,structuring,structured
struggle -> struggles,struggling,struggled
strum -> strums,strumming,strummed
strut -> struts,strutting,strutted
stub -> stubs,stubbing,stubbed
study -> studies,studying,studied
stuff -> stuffs,stuffing,stuffed
stultify -> stultifies,stultifying,stultified
stumble -> stumbles,stumbling,stumbled
stump -> stumps,stumping,stumped
stun -> stuns,stunning,stunned
stunt -> stunts,stunting,stunted
stupefy -> stupefies,stupefying,stupefied
stutter -> stutters,stuttering,stuttered
style -> styles,styling,styled
stymie -> stymies,stymieing,stymied
subcontract -> subcontracts,subcontracting,subcontracted
subdivide -> subdivides,subdividing,subdivided
subdue -> subdues,subduing,subdued
subject -> subjects,subjecting,subjected
subjugate -> subjugates,subjugating,subjugated
sublimate -> sublimates,sublimating,sublimated
submerge -> submerges,submerging,submerged
submit -> submits,submitting,submitted
subordinate -> subordinates,subordinating,subordinated
subpoena -> subpoenas,subpoenaing,subpoenaed
subscribe -> subscribes,subscribing,subscribed
subside -> subsides,subsiding,subsided
subsidize -> subsidizes,subsidizing,subsidized
subsist -> subsists,subsisting,subsisted
substantiate -> substantiates,substantiating,substantiated
substitute -> substitutes,substituting,substituted
subsume -> subsumes,subsuming,subsumed
subtract -> subtracts,subtracting,subtracted
subvert -> subverts,subverting,subverted
succeed -> succeeds,succeeding,succeeded
succour -> succours,succouring,succoured
succumb -> succumbs,succumbing,succumbed
suck -> sucks,sucking,sucked
suckle -> suckles,suckling,suckled
sue -> sues,suing,sued
suffer -> suffers,suffering,suffered
suffice -> suffices,sufficing,sufficed
suffocate -> suffocates,suffocating,suffocated
suffuse -> suffuses,suffusing,suffused
sugar -> sugars,sugaring,sugared
suggest -> suggests,suggesting,suggested
suit -> suits,suiting,suited
sulk -> sulks,sulking,sulked
sully -> sullies,sullying,sullied
sum -> sums,summing,summed
summarize -> summarizes,summarizing,summarized
summon -> summons,summoning,summoned
summons -> summonses,summonsing,summonsed
sun -> suns,sunning,sunned
sunbathe -> sunbathes,sunbathing,sunbathed
sunburn -> sunburns,sunburned,sunburnt,sunburning
sup -> sups,supping,supped
superimpose -> superimposes,superimposing,superimposed
superintend -> superintends,superintending,superintended
supersede -> supersedes,superseding,superseded
supervise -> supervises,supervising,supervised
supplant -> supplants,supplanting,supplanted
supplement -> supplements,supplementing,supplemented
supply -> supplies,supplying,supplied
support -> supports,supporting,supported
suppose -> supposes,supposing,supposed
suppress -> suppresses,suppressing,suppressed
suppurate -> suppurates,suppurating,suppurated
surf -> surfs,surfing,surfed
surface -> surfaces,surfacing,surfaced
surge -> surges,surging,surged
surmise -> surmises,surmising,surmised
surmount -> surmounts,surmounting,surmounted
surpass -> surpasses,surpassing,surpassed
surprise -> surprises,surprising,surprised
surrender -> surrenders,surrendering,surrendered
surround -> surrounds,surrounding,surrounded
survey -> surveys,surveying,surveyed
survive -> survives,surviving,survived
suspect -> suspects,suspecting,suspected
suspend -> suspends,suspending,suspended
suss -> susses,sussing,sussed
sustain -> sustains,sustaining,sustained
swab -> swabs,swabbing,swabbed
swaddle -> swaddles,swaddling,swaddled
swagger -> swaggers,swaggering,swaggered
swallow -> swallows,swallowing,swallowed
swamp -> swamps,swamping,swamped
swank -> swanks,swanking,swanked
swap -> swaps,swapping,swapped
swarm -> swarms,swarming,swarmed
swat -> swats,swatting,swatted
swathe -> swathes,swathing,swathed
sway -> sways,swaying,swayed
swear -> swears,swearing,swore,sworn
sweat -> sweats,sweating,sweated
sweep -> sweeps,sweeping,swept
sweet -> sweets,sweeter,sweetest
sweeten -> sweetens,sweetening,sweetened
swell -> swells,swelling,swelled,swollen
swelter -> swelters,sweltering,sweltered
swerve -> swerves,swerving,swerved
swift -> swifter,swiftest,swifts
swig -> swigs,swigging,swigged
swill -> swills,swilling,swilled
swim -> swims,swimming,swam,swum
swindle -> swindles,swindling,swindled
swing -> swings,swinging,swung
swipe -> swipes,swiping,swiped
swirl -> swirls,swirling,swirled
swish -> swishes,swishing,swished
switch -> switches,switching,switched
swivel -> swivels,swivelling,swivelled
swoon -> swoons,swooning,swooned
swoop -> swoops,swooping,swooped
swot -> swots,swotting,swotted
symbolize -> symbolizes,symbolizing,symbolized
sympathize -> sympathizes,sympathizing,sympathized
synchronize -> synchronizes,synchronizing,synchronized
syncopate -> syncopates,syncopating,syncopated
syndicate -> syndicates,syndicating,syndicated
synthesize -> synthesizes,synthesizing,synthesized
syringe -> syringes,syringing,syringed
systematize -> systematizes,systematizing,systematized
table -> tables,tabling,tabled
tabulate -> tabulates,tabulating,tabulated
tack -> tacks,tacking,tacked
tackle -> tackles,tackling,tackled
tag -> tags,tagging,tagged
tail -> tails,tailing,tailed
tailor -> tailors,tailoring,tailored
taint -> taints,tainting,tainted
take -> takes,taking,took,taken
talk -> talks,talking,talked
tally -> tallies,tallying,tallied
tame -> tames,taming,tamed,tamer,tamest
tamp -> tamps,tamping,tamped
tamper -> tampers,tampering,tampered
tan -> tans,tanning,tanned
tangle -> tangles,tangling,tangled
tango -> tangos,tangoing,tangoed
tantalize -> tantalizes,tantalizing,tantalized
tap -> taps,tapping,tapped
tape -> tapes,taping,taped
tape-record -> tape-records,tape-recording,tape-recorded
taper -> tapers,tapering,tapered
tar -> tars,tarring,tarred
target -> targets,targeting,targeted
tarnish -> tarnishes,tarnishing,tarnished
tarry -> tarries,tarrying,tarried
tart -> tarts,tarting,tarted,tarter,tartest
taste -> tastes,tasting,tasted
tattoo -> tattoos,tattooing,tattooed
taunt -> taunts,taunting,taunted
tauten -> tautens,tautening,tautened
tax -> taxes,taxing,taxed
taxi -> taxis,taxiing,taxied
teach -> teaches,teaching,taught
team -> teams,teaming,teamed
tear -> tears,tearing,tore,torn
tease -> teases,teasing,teased
tee -> tees,teeing,teed
teem -> teems,teeming,teemed
teeter -> teeters,teetering,teetered
teethe -> teethes,teething,teethed
telecast -> telecasts,telecasted,telecasting
telegraph -> telegraphs,telegraphing,telegraphed
telephone -> telephones,telephoning,telephoned
telescope -> telescopes,telescoping,telescoped
televise -> televises,televising,televised
telex -> telexes,telexing,telexed
tell -> tells,telling,told
temper -> tempers,tempering,tempered
temporize -> temporizes,temporizing,temporized
tempt -> tempts,tempting,tempted
tend -> tends,tending,tended
tender -> tenderest,tenders,tendering,tendered
tenderize -> tenderizes,tenderizing,tenderized
tense -> tenser,tensest,tenses,tensing,tensed
term -> terms,terming,termed
terminate -> terminates,terminating,terminated
terrify -> terrifies,terrifying,terrified
terrorize -> terrorizes,terrorizing,terrorized
test -> tests,testing,tested
testify -> testifies,testifying,testified
tether -> tethers,tethering,tethered
thank -> thanks,thanking,thanked
thatch -> thatches,thatching,thatched
thaw -> thaws,thawing,thawed
theorize -> theorizes,theorizing,theorized
thicken -> thickens,thickening,thickened
thin -> thinner,thinnest,thins,thinning,thinned
think -> thinks,thinking,thought
thirst -> thirsts,thirsting,thirsted
thrash -> thrashes,thrashing,thrashed
thread -> threads,threading,threaded
threaten -> threatens,threatening,threatened
thresh -> threshes,threshing,threshed
thrill -> thrills,thrilling,thrilled
thrive -> thrives,throve,thrived,thriven,thriving
throb -> throbs,throbbing,throbbed
throng -> throngs,thronging,thronged
throttle -> throttles,throttling,throttled
throw -> throws,throwing,threw,thrown
thrum -> thrums,thrumming,thrummed
thud -> thuds,thudding,thudded
thumb -> thumbs,thumbing,thumbed
thump -> thumps,thumping,thumped
thunder -> thunders,thundering,thundered
thwack -> thwacks,thwacking,thwacked
thwart -> thwarts,thwarting,thwarted
tick -> ticks,ticking,ticked
tickle -> tickles,tickling,tickled
tide -> tides,tiding,tided
tidy -> tidier,tidiest,tidies,tidying,tidied
tie -> ties,tying,tied
tie-dye -> tie-dyes,tie-dyeing,tie-dyed
tight -> tighter,tightest,tights
tighten -> tightens,tightening,tightened
tile -> tiles,tiling,tiled
till -> tills,tilling,tilled
tilt -> tilts,tilting,tilted
time -> times,timing,timed
time -> times,timing,timed
time -> times,timing,timed
time -> times,timing,timed
time -> times,timing,timed
timetable -> timetables,timetabling,timetabled
ting -> tings,tinging,tinged
tinge -> tinges,tingeing,tinged
tingle -> tingles,tingling,tingled
tinker -> tinkers,tinkering,tinkered
tinkle -> tinkles,tinkling,tinkled
tint -> tints,tinted,tinting
tip -> tips,tipping,tipped
tipple -> tipples,tippling,tippled
tiptoe -> tiptoes,tiptoeing,tiptoed
tire -> tires,tiring,tired
titillate -> titillates,titillating,titillated
titter -> titters,tittering,tittered
toast -> toasts,toasting,toasted
toboggan -> toboggans,tobogganing,tobogganed
